[GIN] 2026/08/22 - 16:57:31 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:31 | 200 |     16.0759ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:31 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:31 | 200 |      17.065ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     18.0657ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     18.0756ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     18.0756ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     18.0756ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     20.6203ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |      1.5192ms |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:31 | 200 |       4.345ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:31 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:31 | 200 |      7.7679ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |      9.9197ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |      9.9197ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |      9.4007ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     10.9273ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |      9.9187ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:31 | 200 |      1.5651ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:31 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
[GIN] 2026/08/22 - 16:57:31 | 200 |     31.0915ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     28.6284ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     32.7816ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     31.5276ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     36.9356ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:31 | 200 |     37.6235ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/08/22 - 16:57:32 | 200 |            0s |       127.0.0.1 | GET      "/api/version"
[GIN] 2026/08/22 - 16:57:32 | 200 |      6.8134ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/08/22 - 16:57:32 | 200 |            0s |       127.0.0.1 | GET      "/api/experimental/model-recommendations"
